review_group,sample_id,stain_label,acquisition_propensity,source_image_path,split,luminance_mean,ROI_short_side,matched_with,matching_distance
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/2_舒化无糖牛奶.JPG,1,1.0,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\2_舒化无糖牛奶.JPG,train,153.4477490527355,1141.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/193_橘子.JPG,1,0.9999999999989617,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\193_橘子.JPG,train,126.6671254044139,646.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/272_黑巧.JPG,1,0.999999998726685,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\272_黑巧.JPG,train,101.02527721216941,281.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/63_橘子味软糖.JPG,1,0.9999994179582524,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\63_橘子味软糖.JPG,train,94.45801754678354,2534.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/160_芒果.JPG,1,0.9999665455508913,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\160_芒果.JPG,train,101.69222717607465,315.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/162_杨梅.JPG,1,0.9999613200081052,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\162_杨梅.JPG,train,88.41560699616727,301.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/122_橘子味糖果.JPG,1,0.9999474069340869,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\122_橘子味糖果.JPG,train,80.844810602442,629.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/45_橙子.JPG,1,0.9998963994439076,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\45_橙子.JPG,train,93.68572204474636,2896.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/68_红心火龙果.JPG,1,0.9998713842792748,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\68_红心火龙果.JPG,val,113.0938727968269,1882.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/142_橘子.JPG,1,0.9996954367294796,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\142_橘子.JPG,train,124.71589102705418,820.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/157_橙汁.JPG,1,0.9996902366958806,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\157_橙汁.JPG,train,78.65702890496573,3472.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/302_红心火龙果.JPG,1,0.9996860202016036,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\302_红心火龙果.JPG,train,87.05026895350103,354.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/80_巧克力.JPG,1,0.999452724061812,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\80_巧克力.JPG,train,86.10058695298825,1385.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/235_巧乐兹雪糕.JPG,1,0.9993137324265251,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\235_巧乐兹雪糕.JPG,train,101.37674355607699,610.0,,
A_high_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/60_橙子味棒棒糖.JPG,1,0.9991786525970648,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\60_橙子味棒棒糖.JPG,train,121.06201138872295,2888.0,,
B_low_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/259_橘子味糖果.JPG,1,0.002645495405546296,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\259_橘子味糖果.JPG,val,142.24669856108218,1162.0,,
B_low_propensity_positive,stained_coating::中医舌诊染苔数据/染苔/260_橘子味糖果.JPG,1,0.004940400716812475,D:\project\tongue-recognition\中医舌诊染苔数据\中医舌诊染苔数据\染苔\260_橘子味糖果.JPG,val,95.99799415213124,2110.0,,
